from,to,duration,cost,mode,line
MKK_BUS,TSUEN_WAN_BUS,16,10.5,Bus,Route_71
TSUEN_WAN_BUS,MKK_BUS,16,10.5,Bus,Route_71
ADM_BUS,WCH_BUS,5,5.0,Bus,Route_40
WCH_BUS,ADM_BUS,5,5.0,Bus,Route_40
WCH_BUS,CWB_BUS,5,5.0,Bus,Route_40
CWB_BUS,WCH_BUS,5,5.0,Bus,Route_40
CWB_BUS,NOP_BUS,7,5.0,Bus,Route_40
NOP_BUS,CWB_BUS,7,5.0,Bus,Route_40
KEN_BUS,HKU_BUS,7,5.0,Bus,Route_5B
HKU_BUS,KEN_BUS,7,5.0,Bus,Route_5B
HKU_BUS,CEN_BUS,9,5.0,Bus,Route_5B
CEN_BUS,HKU_BUS,9,5.0,Bus,Route_5B
HONG_KONG_BUS,CEN_BUS,5,5.0,Bus,Route_5B
CEN_BUS,HONG_KONG_BUS,5,5.0,Bus,Route_5B
ADM_BUS,UNI_BUS,30,12.0,Bus,Route_72
UNI_BUS,ADM_BUS,30,12.0,Bus,Route_72
UNI_BUS,TAI_PO_MARKET_BUS,9,5.0,Bus,Route_72
TAI_PO_MARKET_BUS,UNI_BUS,9,5.0,Bus,Route_72
TAI_PO_MARKET_BUS,SHEUNG_SHUI_BUS,11,5.0,Bus,Route_72
SHEUNG_SHUI_BUS,TAI_PO_MARKET_BUS,11,5.0,Bus,Route_72
SHEUNG_SHUI_BUS,LO_WU_BUS,11,5.0,Bus,Route_72
LO_WU_BUS,SHEUNG_SHUI_BUS,11,5.0,Bus,Route_72
TAI_WAI_BUS,UNI_BUS,7,5.0,Bus,Route_74X
UNI_BUS,TAI_WAI_BUS,7,5.0,Bus,Route_74X
DIAMOND_HILL_BUS,TAI_WAI_BUS,11,6.5,Bus,Route_74X
TAI_WAI_BUS,DIAMOND_HILL_BUS,11,6.5,Bus,Route_74X
KOW_BAY_BUS,DIAMOND_HILL_BUS,9,5.0,Bus,Route_74X
DIAMOND_HILL_BUS,KOW_BAY_BUS,9,5.0,Bus,Route_74X
DIAMOND_HILL_BUS,HUNG_HOM_BUS,20,8.0,Bus,Route_74X
HUNG_HOM_BUS,DIAMOND_HILL_BUS,20,8.0,Bus,Route_74X
HUNG_HOM_BUS,ADM_BUS,15,8.0,Bus,Route_107
ADM_BUS,HUNG_HOM_BUS,15,8.0,Bus,Route_107
HUNG_HOM_BUS,EAST_TST_BUS,5,5.0,Bus,Route_1
EAST_TST_BUS,HUNG_HOM_BUS,5,5.0,Bus,Route_1
EAST_TST_BUS,AUSTIN_BUS,5,5.0,Bus,Route_1
AUSTIN_BUS,EAST_TST_BUS,5,5.0,Bus,Route_1
AUSTIN_BUS,NAN_CHANG_BUS,5,5.0,Bus,Route_1
NAN_CHANG_BUS,AUSTIN_BUS,5,5.0,Bus,Route_1
HONG_KONG_BUS,NAN_CHANG_BUS,12,10.0,Bus,Route_970
NAN_CHANG_BUS,HONG_KONG_BUS,12,10.0,Bus,Route_970
